Pete's Dragon^2016^David Lowery^Bryce Dallas Howard, Robert Redford, Oakes Fegley
Deadpool^2016^Tim Miller^Ryan Reynolds, Morena Baccarin, T.J. Miller
Lion^2016^Garth Davis^Dev Patel, Nicole Kidman, Rooney Mara
Florence Foster Jenkins^2016^Stephen Frears^Meryl Streep, Hugh Grant, Simon Helberg
A Man Called Ove (En man som heter Ove)^2016^Hannes Holm^Rolf Lassg\xc3\xa5rd, Bahar Pars, Filip Berg
Don't Breathe^2016^Fede Alvarez^Stephen Lang, Jane Levy, Dylan Minnette
Star Trek Beyond^2016^Justin Lin^Chris Pine, Zachary Quinto, Karl Urban
Summertime (La Belle Saison)^2016^Catherine Corsini^C\xc3\xa9cile De France, Iz\xc3\xafa Higelin, No\xc3\xa9mie Lvovsky
Mountains May Depart (Shan he gu ren)^2016^Zhangke Jia^Tao Zhao, Yi Zhang, Jing Dong Liang
Everybody Wants Some!!^2016^Richard Linklater^Blake Jenner, Tyler Hoechlin, Ryan Guzman
The Last Man On The Moon^2016^Mark Craig^Eugene Cernan, Alan Bean, Charles Duke
A War (Krigen)^2016^Volker Bruch^Volker Bruch, Tom Schilling, Katharina Sch\xc3\xbcttler
Right Now^Wrong Then^2016^Benoît Jacquot^Isild Le Besco, Ouassini Embarek, Nicolas Duvauchelle
Demon^2016^Daniel Alfredson^Anthony Hopkins, Julia Stiles, Ray Liotta
Miss Hokusai (Sarusuberi: Miss Hokusai)^2016^Keiichi Hara^Yutaka Matsushige, Anne Watanabe, Erica Lindbeck
I Am Not a Serial Killer^2016^Billy O'Brien^Max Records, Christopher Lloyd, Laura Fraser
Barbershop: The Next Cut^2016^Malcolm D. Lee^Ice Cube, Regina Hall, Anthony Anderson
Zero Days^2016^Alex Gibney^David Sanger, Emad Kiyaei, Eric Chien
Eat That Question: Frank Zappa in His Own Words^2016^Thorsten Schütte^Frank Zappa, Steve Allen, Angel
The Boy And The Beast^2016^Mamoru Hosoda^Randy E. Aguebor, Bryn Apprill, Kumiko As\xc3\xb4
Mad Max: Fury Road^2015^George Miller^Tom Hardy, Charlize Theron, Nicholas Hoult
Inside Out^2015^Pete Docter^Amy Poehler, Bill Hader, Lewis Black
Spotlight^2015^Tom McCarthy^Mark Ruffalo, Michael Keaton, Rachel McAdams
Selma^2015^Ava DuVernay^David Oyelowo, Carmen Ejogo, Tim Roth
Star Wars: Episode VII - The Force Awakens^2015^J.J. Abrams^Daisy Ridley, John Boyega, Oscar Isaac
It Follows^2015^David Robert Mitchell^Maika Monroe, Keir Gilchrist, Olivia Luccardi
Brooklyn^2015^John Crowley^Saoirse Ronan, Emory Cohen, Domhnall Gleeson
Creed^2015^Ryan Coogler^Michael B. Jordan, Sylvester Stallone, Tessa Thompson
The Martian^2015^Ridley Scott^Matt Damon, Jessica Chastain, Kristen Wiig
Shaun the Sheep Movie^2015^Mark Burton^Justin Fletcher, John Sparkes, Omid Djalili
Room^2015^Lenny Abrahamson^Brie Larson, Jacob Tremblay, Sean Bridgers
Carol^2015^Todd Haynes^Cate Blanchett, Rooney Mara, Sarah Paulson
Mission: Impossible Rogue Nation^2015^Christopher McQuarrie^Tom Cruise, Rebecca Ferguson, Jeremy Renner
45 Years^2015^Andrew Haigh^Charlotte Rampling, Tom Courtenay, Geraldine James
